#Data stored on SZ timesteps
#Time	Obs 5	Obs 35	Obs 37	Obs 65
#Unit	100180	1000	0	100180	1000	0	100180	1000	0	100180	1000	0
1979-08-09 00:00:00	63.957	43.183	35.341	26.5
1979-08-16 00:00:00	63.928	43.184	35.232	26.42
1979-08-23 00:00:00	63.947	43.05	35.309	26.486
1979-08-30 00:00:00	64.161	43.28	35.492	26.571
1979-09-06 00:00:00	64.122	43.071	35.431	26.48
1979-09-13 00:00:00	64.158	43.241	35.519	26.6
1979-09-20 00:00:00	64.108	43.006	35.346	26.513
1979-09-27 00:00:00	64.051	42.882	35.48	26.503
1979-10-04 00:00:00	63.905	42.984	35.628	26.581
1979-10-11 00:00:00	64.166	43.278	35.597	26.31
1979-10-18 00:00:00	64	43.19	35.567	26.717
1979-10-25 00:00:00	64.005	43.248	35.673	26.925
1979-11-01 00:00:00	64.07	43.424	35.652	27.099
1979-11-08 00:00:00	63.912	43.783	35.826	-999
1979-11-15 00:00:00	64.19	43.832	35.747	-999
1979-11-22 00:00:00	64.533	43.92	35.793	-999
1979-11-29 00:00:00	64.517	44.327	35.579	-999
1979-12-06 00:00:00	64.716	-999	35.588	-999
1979-12-13 00:00:00	64.798	-999	35.579	-999
1979-12-20 00:00:00	64.584	-999	35.815	-999
1979-12-27 00:00:00	64.556	-999	35.644	27.201
1980-01-03 00:00:00	64.739	-999	35.579	27.48
