Karup potential evapotranspiration
Time	Pot. Evap.
Unit	100387	2004	3
1969-12-20 00:00:00	0.096
1969-12-21 00:00:00	0.312
1969-12-22 00:00:00	0.504
1969-12-23 00:00:00	0.096
1969-12-24 00:00:00	0
1969-12-25 00:00:00	0
1969-12-26 00:00:00	0.096
1969-12-27 00:00:00	0
1969-12-28 00:00:00	0
1969-12-29 00:00:00	0
1969-12-30 00:00:00	0.096
1969-12-31 00:00:00	0
1970-01-01 00:00:00	0.096
1970-01-02 00:00:00	0
1970-01-03 00:00:00	0
1970-01-04 00:00:00	0
1970-01-05 00:00:00	0
1970-01-06 00:00:00	0
1970-01-07 00:00:00	0
1970-01-08 00:00:00	0
1970-01-09 00:00:00	0.192
1970-01-10 00:00:00	0.312
1970-01-11 00:00:00	0.192
1970-01-12 00:00:00	0.096
1970-01-13 00:00:00	0.096
1970-01-14 00:00:00	0.192
1970-01-15 00:00:00	0.192
1970-01-16 00:00:00	0.312
1970-01-17 00:00:00	0.408
1970-01-18 00:00:00	0
1970-01-19 00:00:00	0.096
1970-01-20 00:00:00	0.192
1970-01-21 00:00:00	0
1970-01-22 00:00:00	0
1970-01-23 00:00:00	0.408
1970-01-24 00:00:00	0.504
1970-01-25 00:00:00	0.192
1970-01-26 00:00:00	0.096
1970-01-27 00:00:00	0
1970-01-28 00:00:00	0
1970-01-29 00:00:00	0
1970-01-30 00:00:00	0
1970-01-31 00:00:00	0
1970-02-01 00:00:00	0
1970-02-02 00:00:00	0.096
1970-02-03 00:00:00	0.408
1970-02-04 00:00:00	0.408
1970-02-05 00:00:00	0
1970-02-06 00:00:00	0
1970-02-07 00:00:00	0.096
1970-02-08 00:00:00	0.504
1970-02-09 00:00:00	0.192
1970-02-10 00:00:00	0.096
1970-02-11 00:00:00	0
1970-02-12 00:00:00	0.192
1970-02-13 00:00:00	0
1970-02-14 00:00:00	0
1970-02-15 00:00:00	0
1970-02-16 00:00:00	0
1970-02-17 00:00:00	0
1970-02-18 00:00:00	0
1970-02-19 00:00:00	0.312
1970-02-20 00:00:00	0.312
1970-02-21 00:00:00	0.192
1970-02-22 00:00:00	0.312
1970-02-23 00:00:00	0.312
1970-02-24 00:00:00	0.192
1970-02-25 00:00:00	0.096
1970-02-26 00:00:00	0.192
1970-02-27 00:00:00	0
1970-02-28 00:00:00	0
1970-03-01 00:00:00	0.312
1970-03-02 00:00:00	0.192
1970-03-03 00:00:00	0.408
1970-03-04 00:00:00	0.408
1970-03-05 00:00:00	0.312
1970-03-06 00:00:00	0.312
1970-03-07 00:00:00	0.408
1970-03-08 00:00:00	0.096
1970-03-09 00:00:00	0.192
1970-03-10 00:00:00	0.096
1970-03-11 00:00:00	0.096
1970-03-12 00:00:00	0.192
1970-03-13 00:00:00	0.192
1970-03-14 00:00:00	0.312
1970-03-15 00:00:00	0.792
1970-03-16 00:00:00	0.888
1970-03-17 00:00:00	0.888
1970-03-18 00:00:00	1.2
1970-03-19 00:00:00	1.2
1970-03-20 00:00:00	0.792
1970-03-21 00:00:00	0.408
1970-03-22 00:00:00	0.408
1970-03-23 00:00:00	0.888
1970-03-24 00:00:00	0.792
1970-03-25 00:00:00	0.792
1970-03-26 00:00:00	0.504
1970-03-27 00:00:00	0.6
1970-03-28 00:00:00	0.6
1970-03-29 00:00:00	1.008
1970-03-30 00:00:00	0.408
1970-03-31 00:00:00	0.504
1970-04-01 00:00:00	0.312
1970-04-02 00:00:00	0.312
1970-04-03 00:00:00	0.792
1970-04-04 00:00:00	1.704
1970-04-05 00:00:00	0.408
1970-04-06 00:00:00	0.792
