Data stored on SZ timesteps
Time	Obs 5	Obs 35	Obs 37	Obs 65
1970-06-13 00:00:00	64.3287	43.2256	35.0083	27.0474
1970-06-14 00:00:00	64.326	43.2241	34.9938	27.0423
1970-06-15 00:00:00	64.3236	43.2224	34.9763	26.9947
1970-06-16 00:00:00	64.3268	43.2207	34.9622	26.9974
1970-06-17 00:00:00	64.3241	43.2188	34.9444	26.9959
1970-06-18 00:00:00	64.3214	43.2169	34.9276	26.9871
1970-06-19 00:00:00	64.3248	43.2147	34.9135	26.9851
1970-06-20 00:00:00	64.3218	43.2126	34.8953	26.9823
1970-06-21 00:00:00	64.3187	43.2103	34.8775	26.9732
1970-06-22 00:00:00	64.3219	43.208	34.8636	26.9709
1970-06-23 00:00:00	64.3185	43.2056	34.847	26.9617
1970-06-24 00:00:00	64.315	43.2031	34.8341	26.959
1970-06-25 00:00:00	64.3176	43.2005	34.8224	26.9493
1970-06-25 07:48:06	64.3164	43.1999	34.8171	26.9497
1970-06-25 12:00:00	64.3155	43.1578	34.8219	26.9356
1970-06-25 19:20:42	64.3144	43.1867	34.8193	26.9366
1970-06-26 00:00:00	64.3137	43.1863	34.817	26.9367
1970-06-26 08:55:41	64.3122	43.1852	34.8149	26.9358
1970-06-26 17:02:30	64.311	43.1844	34.8118	26.9355
1970-06-27 00:00:00	64.3098	43.1836	34.8094	26.9348
1970-06-27 11:57:52	64.3078	43.1821	34.8058	26.9332
1970-06-27 18:45:22	64.307	43.1816	34.8053	26.9334
1970-06-28 00:00:00	64.3058	43.1809	34.8039	26.9326
1970-06-28 12:00:00	64.3037	43.1793	34.8012	26.9306
1970-06-29 00:00:00	64.3019	43.178	34.7964	26.9195
1970-06-29 12:00:00	64.2999	43.1766	34.7928	26.9196
1970-06-30 00:00:00	64.298	43.1752	34.7887	26.9188
1970-06-30 05:14:24	64.2972	43.1747	34.7863	26.9187
1970-06-30 11:01:01	64.2961	43.1739	34.7853	26.918
1970-06-30 15:15:44	64.2954	43.1734	34.7885	26.9065
1970-06-30 22:17:03	64.2941	43.1725	34.7876	26.9077
1970-07-01 00:00:00	64.2939	43.1723	34.7866	26.9079
1970-07-01 08:32:07	64.2923	43.1712	34.7866	26.9074
1970-07-01 16:49:11	64.2911	43.1277	34.7886	26.9074
1970-07-02 00:00:00	64.2899	43.1418	34.7878	26.9072
1970-07-02 11:26:17	64.2879	43.1411	34.7908	26.9065
1970-07-02 18:27:32	64.2934	43.1409	34.7891	26.9067
1970-07-03 00:00:00	64.2919	43.14	34.7885	26.9062
1970-07-03 12:00:00	64.2895	43.1382	34.7924	26.9052
1970-07-04 00:00:00	64.2876	43.1372	34.7907	26.9049
1970-07-04 12:00:00	64.2853	43.1357	34.7936	26.8904
1970-07-05 00:00:00	64.2834	43.1346	34.7915	26.8921
1970-07-05 12:00:00	64.2812	43.1332	34.7897	26.8915
1970-07-06 00:00:00	64.2792	43.1321	34.7869	26.8909
1970-07-07 00:00:00	64.2747	43.1289	34.7821	26.8884
1970-07-08 00:00:00	64.2761	43.127	34.7701	26.8863
1970-07-09 00:00:00	64.2717	43.1246	34.7601	26.8836
1970-07-10 00:00:00	64.2674	43.1222	34.7525	26.8804
1970-07-10 13:00:07	64.2648	43.1209	34.7491	26.869
1970-07-10 15:09:31	64.2645	43.1209	34.7477	26.8695
1970-07-10 17:32:10	64.264	43.1206	34.7474	26.8694
1970-07-10 20:09:27	64.2634	43.1203	34.7468	26.8692
1970-07-10 23:02:52	64.2628	43.12	34.746	26.8689
1970-07-11 00:00:00	64.2627	43.12	34.7457	26.8688
1970-07-11 03:30:47	64.262	43.1196	34.7448	26.8684
1970-07-11 07:23:09	64.2612	43.1192	34.7436	26.8681
1970-07-11 11:39:21	64.2604	43.1188	34.7424	26.8676
1970-07-11 14:24:40	64.2599	43.1186	34.7413	26.8674
1970-07-11 19:36:05	64.2588	43.118	34.7403	26.8668
1970-07-12 00:00:00	64.258	43.1176	34.7392	26.8664
1970-07-12 06:18:31	64.2568	43.1169	34.7379	26.8658
1970-07-12 12:00:00	64.2557	43.1164	34.7367	26.8653
1970-07-12 19:40:06	64.2542	43.1156	34.7353	26.8646
1970-07-13 00:00:00	64.2534	43.1153	34.7342	26.8643
1970-07-13 09:19:15	64.2515	43.1141	34.733	26.8632
1970-07-13 17:15:48	64.2502	43.1136	34.7314	26.8626
1970-07-14 00:00:00	64.2489	43.1129	34.7305	26.8619
1970-07-14 04:41:00	64.248	43.1125	34.7305	26.8555
1970-07-14 09:50:48	64.247	43.1155	34.7304	26.8553
1970-07-14 14:54:57	64.246	43.1122	34.7305	26.8549
1970-07-14 21:11:31	64.2448	43.1015	34.731	26.8542
1970-07-15 00:00:00	64.2444	43.102	34.7312	26.8541
1970-07-15 07:37:43	64.2428	43.1016	34.7332	26.8532
1970-07-15 12:00:00	64.2421	43.1013	34.7392	26.8529
1970-07-15 21:16:22	64.2403	43.1003	34.7415	26.852
1970-07-16 00:00:00	64.2399	43.1002	34.7419	26.8519
1970-07-16 11:16:16	64.2376	43.0987	34.755	26.8506
1970-07-16 18:21:53	64.2367	43.0985	34.7551	26.8504
1970-07-17 00:00:00	64.2354	43.0977	34.7549	26.8497
1970-07-17 12:00:00	64.233	43.0961	34.7539	26.8482
1970-07-18 00:00:00	64.231	43.095	34.7523	26.8472
1970-07-18 12:00:00	64.2287	43.0936	34.751	26.8458
1970-07-19 00:00:00	64.2266	43.0925	34.7455	26.8446
1970-07-19 12:00:00	64.2244	43.091	34.7447	26.8432
1970-07-20 00:00:00	64.2223	43.0901	34.7447	26.8419
1970-07-20 08:46:09	64.2208	43.0893	34.745	26.841
1970-07-20 16:57:07	64.2193	43.0884	34.7454	26.8401
1970-07-21 00:00:00	64.2181	43.0877	34.7453	26.8393
1970-07-21 11:45:06	64.2159	43.0862	34.7443	26.8378
1970-07-21 18:38:10	64.215	43.086	34.743	26.8373
1970-07-22 00:00:00	64.2138	43.0853	34.7423	26.8365
1970-07-22 12:00:00	64.2115	43.0835	34.7369	26.8348
1970-07-23 00:00:00	64.2095	43.0826	34.7322	26.8335
1970-07-23 12:00:00	64.2073	43.0674	34.7314	26.8243
1970-07-24 00:00:00	64.2053	43.0701	34.7302	26.8238
1970-07-24 12:00:00	64.2031	43.0689	34.7293	26.8223
1970-07-25 00:00:00	64.2011	43.0678	34.7282	26.8209
1970-07-25 02:01:08	64.2008	43.0678	34.7276	26.8208
1970-07-25 04:14:41	64.2004	43.0675	34.7274	26.8205
1970-07-25 06:41:56	64.1999	43.0672	34.7272	26.8201
1970-07-25 09:24:16	64.1995	43.067	34.7269	26.8198
1970-07-25 12:00:00	64.199	43.0667	34.7268	26.8195
1970-07-25 15:17:19	64.1984	43.0663	34.7267	26.8192
1970-07-25 18:54:51	64.1978	43.066	34.7266	26.8189
1970-07-25 22:54:42	64.197	43.0656	34.7268	26.8185
1970-07-26 00:00:00	64.1969	43.0655	34.7267	26.8185
1970-07-26 04:51:32	64.1959	43.0649	34.7272	26.8181
1970-07-26 10:12:56	64.195	43.0644	34.7281	26.8178
1970-07-26 15:01:30	64.1942	43.0639	34.7295	26.8175
1970-07-26 21:32:10	64.1929	43.0631	34.7383	26.8171
1970-07-27 00:00:00	64.1925	43.063	34.7401	26.817
1970-07-27 07:54:52	64.191	43.0619	34.7607	26.8164
1970-07-27 16:28:09	64.1895	43.0611	34.7786	26.816
1970-07-28 00:00:00	64.1882	43.0604	34.7923	26.8156
1970-07-28 10:36:22	64.1863	43.0591	34.8063	26.8148
1970-07-28 17:59:21	64.1852	43.0587	34.814	26.8144
1970-07-29 00:00:00	64.184	43.0579	34.8171	26.814
1970-07-29 12:00:00	64.1817	43.0563	34.8258	26.813
1970-07-30 00:00:00	64.1798	43.0553	34.8329	26.8119
1970-07-30 12:00:00	64.1775	43.0539	34.8342	26.8107
1970-07-31 00:00:00	64.1755	43.0444	34.8344	26.8093
1970-07-31 12:00:00	64.1733	43.0433	34.8307	26.8077
1970-08-01 00:00:00	64.1713	43.0422	34.8266	26.8061
1970-08-02 00:00:00	64.1668	43.039	34.8167	26.8023
1970-08-03 00:00:00	64.163	43.0367	34.8056	26.7984
1970-08-04 00:00:00	64.1589	43.034	34.7923	26.794
1970-08-04 20:11:24	64.1555	43.0319	34.7793	26.7903
1970-08-05 00:00:00	64.1551	43.0168	34.7787	26.7821
1970-08-05 12:00:00	64.1525	43.0187	34.7683	26.7802
1970-08-06 00:00:00	64.1506	43.0177	34.7612	26.7781
1970-08-06 12:00:00	64.1484	43.0163	34.7538	26.7758
1970-08-07 00:00:00	64.1464	43.0152	34.748	26.7734
1970-08-08 00:00:00	64.1419	43.0119	34.7369	26.7683
1970-08-09 00:00:00	64.1381	43.0095	34.7258	26.7636
1970-08-10 00:00:00	64.1341	43.0067	34.7161	26.7588
1970-08-10 13:14:30	64.1319	43.0053	34.7144	26.7564
1970-08-10 15:54:50	64.1316	43.0052	34.7139	26.756
1970-08-10 18:51:37	64.131	43.0049	34.7135	26.7554
1970-08-10 22:06:31	64.1305	42.9797	34.7132	26.7548
1970-08-11 00:00:00	64.1302	43.0045	34.713	26.7545
1970-08-11 03:56:54	64.1295	43.003	34.7083	26.7538
1970-08-11 08:18:05	64.1287	43.0023	34.7082	26.753
1970-08-11 12:00:00	64.1281	43.0019	34.7081	26.7524
1970-08-11 17:17:28	64.1272	42.9905	34.7081	26.7514
1970-08-11 23:07:29	64.1262	42.9908	34.708	26.7504
1970-08-12 00:00:00	64.1201	42.9908	34.7081	26.7503
1970-08-12 07:05:26	64.1198	42.9901	34.708	26.7489
1970-08-12 12:00:00	64.1192	42.9898	34.708	26.7481
1970-08-12 20:37:08	64.1178	42.9889	34.7078	26.7465
1970-08-13 00:00:00	64.1174	42.9888	34.7078	26.746
1970-08-13 10:28:34	64.1155	42.9875	34.707	26.7439
1970-08-13 17:54:57	64.1147	42.9871	34.7063	26.7428
1970-08-14 00:00:00	64.1136	42.9864	34.7014	26.7345
1970-08-14 12:00:00	64.1115	42.9848	34.7002	26.7324
1970-08-15 00:00:00	64.1098	42.9838	34.6986	26.7304
1970-08-15 12:00:00	64.1079	42.9824	34.6926	26.7282
1970-08-16 00:00:00	64.1061	42.9812	34.6914	26.7261
1970-08-16 12:00:00	64.1041	42.9797	34.6907	26.7238
1970-08-17 00:00:00	64.1024	42.9672	34.6857	26.7216
1970-08-17 15:16:49	64.0998	42.9666	34.6851	26.7187
1970-08-17 22:20:28	64.0991	42.9663	34.685	26.7177
1970-08-18 00:00:00	64.0988	42.9661	34.685	26.7174
