#Modfied: first line commented out and tabs replaced by commas.
#Mid-estuary - undredged velocity mag,Upstream - undredged velocity mag,Berth - undredged velocity mag,Inlet - undredged velocity mag,Mid-estuary - undredged water surface elevation,Upstream - undredged water surface elevation,Berth - undredged water surface elevation,Inlet - undredged water surface elevation,Mid-estuary - dredged velocity mag,Upstream - dredged velocity mag,Berth - dredged velocity mag,Inlet - dredged velocity mag,Mid-estuary - dredged water surface elevation,Upstream - dredged water surface elevation,Berth - dredged water surface elevation,Inlet - dredged water surface elevation,Mid-estuary - Delta vel magnitude,Upstream - Delta vel magnitude,Berth - Delta vel magnitude,Inlet - Delta vel magnitude,Mid-estuary - Delta water surf elevation,Upstream - Delta water surf elevation,Berth - Delta water surf elevation,Inlet - Delta water surf elevation
7.750, 0.338,7.750, 0.019,7.750, 0.184,7.750, 0.189,7.750, 0.641,7.750, 0.690,7.750, 0.633,7.750, 0.626,7.750, 0.341,7.750, 0.019,7.750, 0.109,7.750, 0.138,7.750, 0.637,7.750, 0.687,7.750, 0.631,7.750, 0.626,7.750, 0.004,7.750, 0.000,7.750, -0.075,7.750, -0.050,7.750, -0.004,7.750, -0.004,7.750, -0.002,7.750, 0.000
8.000, 0.381,8.000, 0.022,8.000, 0.204,8.000, 0.205,8.000, 0.556,8.000, 0.609,8.000, 0.548,8.000, 0.541,8.000, 0.384,8.000, 0.023,8.000, 0.120,8.000, 0.149,8.000, 0.551,8.000, 0.604,8.000, 0.546,8.000, 0.541,8.000, 0.004,8.000, 0.000,8.000, -0.083,8.000, -0.056,8.000, -0.005,8.000, -0.004,8.000, -0.002,8.000, 0.000
8.250, 0.403,8.250, 0.024,8.250, 0.213,8.250, 0.215,8.250, 0.470,8.250, 0.521,8.250, 0.463,8.250, 0.456,8.250, 0.405,8.250, 0.024,8.250, 0.125,8.250, 0.155,8.250, 0.465,8.250, 0.517,8.250, 0.461,8.250, 0.457,8.250, 0.003,8.250, 0.000,8.250, -0.089,8.250, -0.060,8.250, -0.005,8.250, -0.005,8.250, -0.002,8.250, 0.000
8.500, 0.412,8.500, 0.024,8.500, 0.218,8.500, 0.223,8.500, 0.383,8.500, 0.434,8.500, 0.376,8.500, 0.368,8.500, 0.414,8.500, 0.024,8.500, 0.126,8.500, 0.160,8.500, 0.377,8.500, 0.429,8.500, 0.373,8.500, 0.368,8.500, 0.002,8.500, 0.000,8.500, -0.092,8.500, -0.064,8.500, -0.006,8.500, -0.005,8.500, -0.003,8.500, 0.000
8.750, 0.422,8.750, 0.024,8.750, 0.223,8.750, 0.230,8.750, 0.292,8.750, 0.348,8.750, 0.284,8.750, 0.276,8.750, 0.424,8.750, 0.024,8.750, 0.128,8.750, 0.164,8.750, 0.286,8.750, 0.342,8.750, 0.281,8.750, 0.276,8.750, 0.002,8.750, 0.000,8.750, -0.095,8.750, -0.067,8.750, -0.006,8.750, -0.005,8.750, -0.003,8.750, 0.000
9.000, 0.440,9.000, 0.025,9.000, 0.231,9.000, 0.240,9.000, 0.199,9.000, 0.261,9.000, 0.190,9.000, 0.180,9.000, 0.443,9.000, 0.025,9.000, 0.132,9.000, 0.169,9.000, 0.192,9.000, 0.255,9.000, 0.186,9.000, 0.181,9.000, 0.003,9.000, 0.000,9.000, -0.100,9.000, -0.070,9.000, -0.007,9.000, -0.006,9.000, -0.003,9.000, 0.000
9.250, 0.469,9.250, 0.026,9.250, 0.247,9.250, 0.259,9.250, 0.101,9.250, 0.173,9.250, 0.089,9.250, 0.077,9.250, 0.475,9.250, 0.026,9.250, 0.140,9.250, 0.182,9.250, 0.092,9.250, 0.166,9.250, 0.085,9.250, 0.078,9.250, 0.005,9.250, 0.000,9.250, -0.107,9.250, -0.076,9.250, -0.008,9.250, -0.006,9.250, -0.004,9.250, 0.001
9.500, 0.513,9.500, 0.028,9.500, 0.268,9.500, 0.283,9.500, -0.006,9.500, 0.081,9.500, -0.021,9.500, -0.034,9.500, 0.521,9.500, 0.028,9.500, 0.150,9.500, 0.198,9.500, -0.016,9.500, 0.073,9.500, -0.025,9.500, -0.034,9.500, 0.008,9.500, 0.000,9.500, -0.117,9.500, -0.085,9.500, -0.010,9.500, -0.007,9.500, -0.005,9.500, 0.001
9.750, 0.553,9.750, 0.030,9.750, 0.285,9.750, 0.296,9.750, -0.114,9.750, -0.016,9.750, -0.130,9.750, -0.143,9.750, 0.562,9.750, 0.031,9.750, 0.158,9.750, 0.205,9.750, -0.125,9.750, -0.025,9.750, -0.135,9.750, -0.143,9.750, 0.009,9.750, 0.000,9.750, -0.127,9.750, -0.091,9.750, -0.011,9.750, -0.008,9.750, -0.005,9.750, 0.001
10.000, 0.569,10.000, 0.032,10.000, 0.288,10.000, 0.293,10.000, -0.213,10.000, -0.116,10.000, -0.229,10.000, -0.241,10.000, 0.576,10.000, 0.032,10.000, 0.157,10.000, 0.200,10.000, -0.225,10.000, -0.125,10.000, -0.234,10.000, -0.240,10.000, 0.007,10.000, 0.000,10.000, -0.131,10.000, -0.093,10.000, -0.011,10.000, -0.010,10.000, -0.005,10.000, 0.001
